"lga_id","total_facilities","total_hospitals","total_phcentres","total_phclinics","total_phclinics.1","total_sec_tertiary","improved_water_supply","improved_sanitation","power_sources_grid","any_power_available","emerg_tran","sba","delivery_services_yn","c_section_yn","antenatal_care_yn","family_planning_yn","child_health_measles_immun","vaccines_fridge_freezer","medication_anti_malarials","phcentre","phclinic","dispensary","lga","state","zone","pop_2006"
17,21,2,11,0,8,0,3,11,6,11,1,4,0,0,21,6,15,7,0,0,0,15,"Afikpo South","Ebonyi","Southeast",157072
18,48,1,8,19,15,5,22,10,19,20,6,2,23,2,25,21,0,1,8,0,0,44,"Agaie","Niger","North-Central",132907
19,44,2,14,11,15,2,3,8,3,6,1,4,38,1,37,25,0,0,12,1,0,38,"Agatu","Benue","North-Central",115523
20,32,0,11,15,5,1,11,12,2,26,6,2,27,2,27,23,0,0,12,0,0,27,"Agwara","Niger","North-Central",57413
21,39,5,13,6,2,13,9,9,9,10,33,36,36,23,36,31,0,1,9,2,1,12,"Agege","Lagos","Southwest",459939
22,48,11,19,2,10,6,1,15,22,22,10,16,31,14,28,22,0,2,14,0,0,29,"Aguata","Anambra","Southeast",370172
23,36,8,17,5,1,5,6,15,15,17,14,26,32,9,33,17,0,0,13,0,2,17,"Ahiazu-Mbaise","Imo","Southeast",170902
24,10,0,7,2,1,0,1,5,6,7,1,2,8,0,9,7,0,0,4,0,0,10,"Ahoada East","Rivers","South-South",166747
25,14,0,9,2,0,3,5,5,1,4,3,5,12,1,11,11,0,0,3,0,0,7,"Ahoada West","Rivers","South-South",249425
26,11,1,5,3,1,1,5,4,7,8,2,5,0,0,9,5,6,4,0,0,2,8,"Ajaokuta","Kogi","North-Central",122321
27,40,12,11,8,1,8,4,6,5,6,32,36,36,24,37,33,0,0,5,1,3,14,"Ajeromi-Ifelodun","Lagos","Southwest",684105
28,24,0,1,3,20,0,18,12,7,7,5,1,2,1,11,3,0,0,12,0,0,12,"Ajingi","Kano","Northwest",174137
29,28,2,14,4,8,0,8,12,5,14,8,7,21,1,23,21,0,2,10,1,0,16,"Akamkpa","Cross River","South-South",151125
30,40,5,20,3,4,8,9,11,16,17,12,14,30,4,34,31,0,0,8,0,0,19,"Akinyele","Oyo","Southwest",211359
31,50,3,9,8,11,19,28,40,25,35,8,11,0,0,41,34,40,23,0,5,6,44,"Akko","Gombe","Northeast",337853
32,33,1,30,0,0,2,7,17,27,28,7,9,30,4,30,30,0,0,15,0,0,26,"Akoko-Edo","Edo","South-South",262110
33,35,6,12,13,1,3,18,28,30,31,10,15,0,0,31,26,18,5,0,0,1,20,"Akoko North East","Ondo","Southwest",175409
34,25,2,14,6,0,3,23,19,26,26,8,13,7,0,22,19,0,5,0,0,0,21,"Akoko North West","Ondo","Southwest",213792
35,32,3,1,25,0,3,11,20,17,23,13,8,25,1,28,14,0,3,8,0,0,29,"Akoko South West","Ondo","Southwest",229486
36,16,1,4,11,0,0,3,9,12,12,1,7,11,1,13,10,0,0,1,0,0,12,"Akoko South East","Ondo","Southwest",82426
37,30,1,9,10,9,1,17,14,16,20,9,4,15,1,26,30,0,0,22,1,1,28,"Akpabuyo","Cross River","South-South",271395
38,8,2,3,0,0,3,7,8,2,5,0,4,0,0,8,6,6,3,0,1,2,7,"Akuku Toru","Rivers","South-South",156006
39,25,2,5,16,1,1,6,12,14,17,5,8,17,2,21,17,0,2,4,0,0,18,"Akure North","Ondo","Southwest",131587
40,37,5,3,23,1,5,13,23,17,24,12,13,31,6,35,28,0,6,7,2,2,29,"Akure South","Ondo","Southwest",353211
41,46,1,18,27,0,0,17,11,4,10,3,4,0,0,41,42,42,4,0,3,3,46,"Akwanga","Nasarawa","North-Central",113430
42,24,0,1,3,20,0,8,3,3,4,1,1,2,0,10,4,0,0,9,0,0,11,"Albasu","Kano","Northwest",190153
43,19,2,7,3,7,0,13,13,8,13,2,5,12,1,11,12,0,0,7,0,0,15,"Aliero","Kebbi","Northwest",65972
44,50,12,20,3,6,9,24,24,19,26,39,27,31,15,47,44,0,1,18,3,0,24,"Alimosho","Lagos","Southwest",1277714
45,33,1,5,8,16,3,11,20,10,14,6,4,20,3,18,22,0,0,10,0,1,28,"Alkaleri","Bauchi","Northeast",329424
46,43,15,13,10,0,5,3,4,4,4,39,32,35,23,37,37,0,0,2,0,0,9,"Amuwo-Odofin","Lagos","Southwest",318166
47,7,0,5,0,1,1,1,5,2,2,1,3,5,0,6,5,0,0,4,0,1,7,"Anambra East","Anambra","Southeast",153331
48,21,1,14,3,2,1,12,10,0,8,0,1,0,0,17,7,15,8,0,0,0,14,"Anambra West","Anambra","Southeast",167416
49,22,6,12,0,0,4,6,12,13,13,5,12,22,7,22,14,0,0,13,0,1,14,"Anaocha","Anambra","Southeast",285002
50,28,1,23,2,1,1,3,8,1,5,5,6,15,1,22,18,0,0,20,1,3,25,"Andoni","Rivers","South-South",211009
51,13,0,8,1,2,2,4,8,4,6,2,2,0,0,13,5,12,2,0,0,0,11,"Aninri","Enugu","Southeast",133723
52,30,6,17,3,0,4,0,14,17,21,12,12,26,10,29,24,0,0,6,0,0,15,"Aniocha North","Delta","South-South",104711
53,27,5,17,0,0,5,5,20,12,16,13,9,27,5,27,22,0,0,13,0,0,12,"Aniocha South","Delta","South-South",140604
54,34,2,7,1,23,1,12,9,4,8,3,6,11,1,10,16,0,0,2,0,0,24,"Anka","Zamfara","Northwest",142280
55,59,3,50,4,0,2,4,16,12,16,11,10,44,4,48,30,0,1,14,0,4,47,"Ankpa","Kogi","North-Central",267353
56,47,1,19,19,7,1,3,12,5,9,2,3,34,2,38,26,0,1,9,0,1,42,"Apa","Benue","North-Central",96765
57,32,9,6,10,5,2,7,7,2,7,21,28,18,11,23,21,0,1,6,0,0,8,"Apapa","Lagos","Southwest",217362
58,37,1,3,13,19,1,15,8,8,11,0,2,0,0,21,12,25,11,0,0,0,24,"Ado","Benue","North-Central",178882
59,20,0,2,8,8,2,11,9,2,4,9,3,15,1,14,9,0,0,9,0,0,20,"Ardo-Kola","Taraba","Northeast",86921
60,23,0,3,1,19,0,3,4,2,5,4,2,10,0,8,8,0,0,2,0,1,22,"Arewa-Dandi","Kebbi","Northwest",184030
61,34,1,8,1,22,2,14,19,10,13,15,4,10,2,15,12,0,0,2,0,1,27,"Argungu","Kebbi","Northwest",195484
62,23,3,16,0,2,2,6,9,9,16,1,3,18,1,21,12,0,0,5,1,1,11,"Arochukwu","Abia","Southeast",170206
63,49,2,8,14,21,4,27,19,16,19,0,8,0,0,43,19,31,3,0,0,1,43,"Asa","Kwara","North-Central",126435
64,14,1,13,0,0,0,5,6,6,9,3,6,10,0,10,7,0,0,9,4,4,11,"Asari Toru","Rivers","South-South",220100
65,26,3,5,4,13,1,2,10,4,6,3,7,11,1,11,7,0,0,3,0,1,16,"Askira/Uba","Borno","Northeast",138091
66,44,0,33,9,0,2,10,17,10,12,0,0,0,0,41,18,29,5,0,0,0,25,"Atakunmosa East","Osun","Southwest",76197
67,33,0,19,4,5,5,4,9,20,20,5,4,28,1,26,19,0,0,2,0,0,30,"Atakunmosa West","Osun","Southwest",68643
68,25,1,8,6,3,7,4,11,7,11,12,9,20,3,24,17,0,0,11,0,1,17,"Atiba","Oyo","Southwest",169702
69,24,2,9,8,0,5,4,13,13,15,12,12,21,3,22,19,0,1,10,0,0,8,"Atisbo","Oyo","Southwest",110792
70,35,2,7,5,21,0,19,9,2,11,0,1,0,0,7,5,10,11,0,0,1,16,"Augie","Kebbi","Northwest",117287
71,17,0,2,4,11,0,15,7,4,8,1,2,4,1,6,11,0,1,4,1,1,16,"Auyo","Jigawa","Northwest",132001
72,45,1,18,15,8,3,13,10,4,11,8,5,35,3,34,37,0,0,18,0,2,43,"Awe","Nasarawa","North-Central",112574
73,23,2,14,1,2,4,1,4,8,11,6,8,20,4,19,11,0,0,10,0,3,12,"Awgu","Enugu","Southeast",198134
74,22,3,9,1,9,0,12,15,10,10,5,5,0,0,19,12,18,6,0,0,0,15,"Awka North","Anambra","Southeast",112608
75,17,7,8,1,1,0,5,7,8,9,7,8,13,4,16,8,0,0,9,0,1,11,"Awka South","Anambra","Southeast",189049
76,19,1,10,1,6,1,2,8,2,7,0,6,15,2,16,6,0,0,14,0,0,13,"Ayamelum","Anambra","Southeast",158410
77,48,1,13,13,8,13,9,13,6,9,17,9,39,3,44,25,0,1,9,0,1,35,"Ayedaade","Osun","Southwest",150392
78,28,0,18,2,2,6,6,11,7,10,7,8,25,0,27,12,0,0,6,0,0,24,"Ayedire","Osun","Southwest",75846
79,16,1,4,6,5,0,13,8,3,9,4,3,9,1,12,10,0,0,9,2,3,15,"Babura","Jigawa","Northwest",208101
80,45,3,20,5,1,16,16,15,16,21,31,30,34,15,39,34,0,2,18,0,0,26,"Badagry","Lagos","Southwest",241093
81,15,1,3,0,11,0,6,6,4,10,0,3,5,1,5,6,0,0,2,0,1,9,"Bagudo","Kebbi","Northwest",237817
82,15,0,2,4,9,0,8,4,3,3,0,1,2,0,7,3,0,0,4,0,0,7,"Bagwai","Kano","Northwest",162847
83,2,0,0,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,2,"Bakassi","Cross River","South-South",32385
84,63,1,20,26,16,0,7,8,3,7,11,6,39,1,39,39,0,0,21,0,1,56,"Bokkos","Plateau","North-Central",178454
85,38,0,6,4,28,0,10,11,7,7,1,1,9,1,18,12,0,0,13,0,1,23,"Bakori","Katsina","Northwest",149371
86,21,0,4,2,15,0,6,6,6,10,1,2,3,0,10,10,0,0,0,0,0,19,"Bakura","Zamfara","Northwest",186905
87,37,3,5,4,10,15,15,17,8,15,1,9,0,0,27,15,18,8,0,2,6,35,"Balanga","Gombe","Northeast",212549
88,51,0,11,11,24,5,26,23,2,10,0,8,0,0,29,10,13,6,0,0,2,45,"Bali","Taraba","Northeast",208935
89,17,1,4,7,4,1,8,8,3,5,4,4,10,1,11,7,0,0,5,0,3,13,"Bama","Borno","Northeast",269986
90,19,1,2,3,11,2,11,12,9,11,10,3,6,1,6,6,0,0,5,0,1,14,"Barde","Yobe","Northeast",139782
91,64,2,33,18,7,4,18,19,8,15,5,9,53,5,56,58,0,1,24,0,2,55,"Barkin-Ladi","Plateau","North-Central",175267
